rating,price_€,sim_dual,sim_sing,sim_3G,sim_4G,sim_5G,sim_volte,sim_wifi,sim_nfc,sim_irc_bl,sim_vo5g,ram_,memory_int(MB),battery_mAh,battery_w,display_inch,display_hz
67.0,109.989,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,,6.5,
75.0,137.489,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,33.0,6.6,90.0
72.0,137.489,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,,6.56,
88.0,659.9889999999999,1,0,1,1,1,1,1,1,0,0,8192.0,262144.0,5000.0,120.0,6.78,144.0
,1176.89,1,0,1,1,1,1,1,1,0,0,12288.0,262144.0,4600.0,66.0,8.03,120.0
78.0,175.89,1,0,1,1,1,1,1,0,0,0,4096.0,131072.0,5000.0,18.0,6.58,120.0
75.0,1319.89,1,0,1,1,1,1,1,1,0,0,6144.0,131072.0,3200.0,,6.1,120.0
83.0,219.989,1,0,1,1,1,1,1,0,1,0,6144.0,131072.0,5200.0,33.0,6.67,120.0
83.0,263.89,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,4400.0,68.0,6.55,144.0
80.0,142.989,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,5000.0,33.0,6.6,90.0
82.0,219.89,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,4310.0,50.0,6.43,
,648.89,1,0,1,1,1,1,1,1,1,0,8192.0,131072.0,4820.0,120.0,6.73,120.0
87.0,483.989,1,0,1,1,1,1,1,0,0,0,12288.0,262144.0,5000.0,120.0,6.73,144.0
86.0,549.9889999999999,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,3700.0,25.0,6.1,120.0
79.0,175.98899999999998,1,0,1,1,0,1,1,0,0,0,6144.0,131072.0,5000.0,44.0,6.44,
87.0,406.989,1,0,1,1,1,1,1,1,0,0,12288.0,262144.0,5000.0,80.0,6.7,120.0
85.0,439.989,1,0,1,1,1,1,1,1,0,0,8192.0,262144.0,5160.0,45.0,6.8,120.0
74.0,571.9889999999999,1,0,1,1,1,1,1,1,0,0,4096.0,65536.0,5000.0,33.0,6.1,
82.0,252.989,1,0,1,1,1,1,1,0,1,0,6144.0,131072.0,5080.0,67.0,6.6,144.0
87.0,351.989,1,0,1,1,1,1,1,1,0,0,6144.0,131072.0,5000.0,25.0,6.5,120.0
,67.881,1,0,1,1,0,1,1,0,0,0,2048.0,32768.0,5000.0,10.0,6.52,
83.0,322.74,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,4500.0,80.0,6.43,90.0
87.0,278.179,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,5000.0,25.0,6.7,120.0
78.0,239.668,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,4700.0,66.0,6.44,90.0
83.0,769.9889999999999,1,0,1,1,1,1,1,1,0,0,16384.0,524288.0,5000.0,120.0,6.73,165.0
88.0,780.89,1,0,1,1,1,1,1,1,0,1,8192.0,131072.0,3900.0,25.0,6.1,120.0
89.0,384.989,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,4800.0,68.0,6.7,144.0
85.0,372.9,1,0,1,1,1,1,1,1,0,0,12288.0,262144.0,4500.0,80.0,6.43,90.0
71.0,329.989,1,0,1,1,1,1,1,1,0,0,6144.0,131072.0,4410.0,,6.14,
84.0,208.989,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,5000.0,33.0,6.7,
84.0,214.489,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,6000.0,25.0,6.6,120.0
83.0,274.934,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,4200.0,44.0,6.44,90.0
78.0,120.989,1,0,1,1,0,1,1,1,0,0,4096.0,65536.0,5000.0,20.0,6.47,
85.0,274.989,1,0,1,1,1,1,1,0,0,0,8192.0,262144.0,5000.0,33.0,6.59,120.0
82.0,285.989,1,0,1,1,1,1,1,1,0,0,6144.0,131072.0,5000.0,25.0,6.4,90.0
69.0,384.89,1,0,1,1,1,1,1,1,0,0,6144.0,131072.0,4410.0,,6.1,90.0
74.0,148.126,1,0,1,1,1,1,1,0,1,0,4096.0,65536.0,5000.0,18.0,6.58,90.0
76.0,109.989,1,0,1,1,0,1,1,0,1,0,4096.0,65536.0,5020.0,18.0,6.67,
71.0,87.98899999999999,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,,6.5,90.0
86.0,310.739,1,0,1,1,1,1,1,1,0,0,8192.0,262144.0,4500.0,33.0,6.55,120.0
82.0,181.489,1,0,1,1,1,1,1,0,1,0,6144.0,131072.0,5000.0,67.0,6.67,120.0
87.0,252.989,1,0,1,1,1,1,1,0,1,0,8192.0,262144.0,5000.0,67.0,6.67,120.0
75.0,516.9889999999999,1,0,1,1,0,1,1,1,0,0,4096.0,131072.0,3110.0,,6.1,
74.0,153.989,1,0,1,1,0,1,1,0,0,0,6144.0,131072.0,5000.0,18.0,6.6,90.0
78.0,148.39,1,0,1,1,0,1,1,0,0,0,6144.0,131072.0,5000.0,33.0,6.59,90.0
82.0,318.989,1,0,1,1,1,1,1,0,1,0,8192.0,131072.0,4700.0,80.0,6.62,120.0
78.0,170.48899999999998,1,0,1,1,1,1,1,0,0,0,4096.0,131072.0,5000.0,18.0,6.58,120.0
86.0,439.989,1,0,1,1,1,1,1,1,0,0,16384.0,262144.0,4500.0,67.0,6.7,120.0
76.0,142.989,1,0,1,1,1,1,1,0,1,0,4096.0,65536.0,5000.0,33.0,6.6,90.0
,49.489,1,0,1,1,0,1,1,0,0,0,2048.0,65536.0,2800.0,,5.0,
69.0,164.989,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,6000.0,18.0,6.52,
68.0,93.489,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,15.0,6.5,
83.0,274.89,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,4400.0,66.0,6.62,120.0
84.0,186.989,1,0,1,1,1,1,1,1,0,0,6144.0,131072.0,6000.0,25.0,6.5,120.0
71.0,105.479,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,6000.0,18.0,6.7,
74.0,450.989,1,0,1,1,1,1,1,1,0,0,4096.0,65536.0,5000.0,33.0,5.4,
79.0,219.868,1,0,1,1,1,1,1,0,1,0,6144.0,131072.0,5000.0,33.0,6.67,120.0
75.0,131.989,1,0,1,1,0,1,1,1,0,0,4096.0,65536.0,5000.0,33.0,6.6,90.0
79.0,1572.89,1,0,1,1,1,1,1,1,0,0,8192.0,262144.0,4352.0,25.0,6.68,120.0
87.0,340.89,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,5000.0,67.0,6.7,120.0
85.0,214.489,1,0,1,1,1,1,1,0,0,0,8192.0,262144.0,5000.0,33.0,6.78,120.0
,54.88999999999999,1,0,1,1,0,0,1,0,0,0,4096.0,512.0,1450.0,,2.7,
,58.289,1,0,1,1,0,1,1,0,0,0,2048.0,32768.0,5000.0,,6.5,
82.0,285.659,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,4500.0,33.0,6.43,
82.0,318.989,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,65.0,6.4,120.0
,1044.89,1,0,1,1,1,1,1,1,0,0,12288.0,262144.0,4520.0,67.0,7.1,120.0
81.0,164.989,1,0,1,1,0,1,1,0,0,0,6144.0,131072.0,5000.0,33.0,6.4,90.0
